날짜,품번,품목군,품목,코업,포승,포승이고,청호,한라,진성,청호이고,해드림,그린써브케이탑,본사,직송,재고합계,당월출고수량,직전출고수량,일일소비량,7일활동소비량,7일실질소비량,안전재고,상태,최소재고,최대재고,긴급발생횟수,긴급발생비율,재고_커버리지,소비_급증률,유형_분류,위험점수,위험등급
2026. 2. 26,26006,d. 유제품,UELZENA 마르켄 스틱버터 2.5kg,0.00,"1,532.00",,"1,760.00",,,,,,,,"3,292.00",800.00,800,0.00,0.00,114.29,400.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,즉시보충,0.00,여유
2026. 2. 26,26010,d. 유제품,UELZENA 마르켄 포션버터 10g*200ea,139.00,360.00,,,,,,,2.00,,,501.00,130.15,120.15,10.00,6.17,3.71,46.55,정상,87.00,447.00,1,2.63%,37.42,166.03%,보충임박,51.67,주의
2026. 2. 26,24986,d. 유제품,발렌타인 포션버터 7g,0.00,,,,,,,,,,,0.00,6.00,6,0.00,0.50,0.14,2.00,긴급,2.00,2.00,29,76.32%,0.00,350.00%,즉시보충,0.00,여유
2026. 2. 26,24987,d. 유제품,발렌타인 포션버터 10g,0.00,,,,,,,,,,,0.00,0.00,0,0.00,0.00,0.00,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 26,24094,d. 유제품,SD 컴퍼니 모짜렐라 치즈 2.5kg*4ea,0.00,,,,,,,,,,,0.00,0.00,0,0.00,0.00,0.00,100.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 26,23144,d. 유제품,제니코 에멘탈 프라임 골드 1KG,110.88,,,,,,,,,,,110.88,17.00,17,0.00,0.50,0.43,39.00,정상,2.63,125.88,2,5.26%,258.71,116.67%,여유재고,36.25,여유
2026. 2. 26,23124,d. 유제품,팬시 파마산 슈레드치즈 907g,22.58,,,,,,,,,,,22.58,255.33,221.3333333,34.00,21.65,11.73,108.25,긴급,22.58,197.50,3,7.89%,1.93,184.65%,즉시보충,82.94,주의
2026. 2. 26,23141,d. 유제품,콜비잭 슈레드 치즈,0.00,,,,,,,,,,,0.00,1.00,1,0.00,0.00,0.14,1.06,긴급,0.00,0.00,38,100.00%,0.00,0.00%,즉시보충,0.00,여유
2026. 2. 26,24096,d. 유제품,콜비잭치즈 슬라이스(21g),0.00,,,,,,,,,,,0.00,100.00,100,0.00,0.00,14.29,193.75,긴급,2.00,320.00,25,65.79%,0.00,0.00%,즉시보충,0.00,여유
2026. 2. 26,23103,d. 유제품,제니코 피자치즈 N50 2.5kg,132.00,,,,,,,,,,,132.00,198.00,197,1.00,8.67,7.29,80.50,정상,50.00,247.00,1,2.63%,18.12,118.95%,여유재고,38.97,여유
2026. 2. 26,23104,d. 유제품,제니코 피자토핑프라임 2.5kg,85.50,,,,,,,,,,,85.50,30.00,30,0.00,0.33,0.29,16.50,정상,16.00,87.75,1,2.63%,299.25,116.67%,여유재고,35.69,여유
2026. 2. 26,23112,d. 유제품,제니코 모짜체다 슈레드 치즈 2.5kg,28.00,,,,,,,,,,,28.00,80.00,60,20.00,6.67,2.86,42.50,주의,28.00,128.00,1,2.63%,9.80,233.33%,보충임박,75.63,주의
2026. 2. 26,23145,d. 유제품,옐로우 슈레드 치즈 2.5kg (냉장),130.00,,,,,,,,,,,130.00,150.00,150,0.00,0.00,0.00,203.50,주의,30.00,150.00,9,23.68%,0.00,0.00%,여유재고,0.00,여유
2026. 2. 26,23118,d. 유제품,제니코 모짜 슬라이스(냉동) 18g 1kg*3ea,237.67,,,,,,,,,,,237.67,412.33,412.3333333,0.00,21.83,1.57,320.50,주의,0.67,373.00,16,42.11%,151.24,1389.39%,보충임박,425.57,즉시처리
2026. 2. 26,23100,d. 유제품,제니코 모짜프라임 골드 2.5kg,468.25,,,,,,,,,,,468.25,"2,606.75",2467.75,139.00,97.96,75.39,1043.00,주의,235.00,"1,727.75",7,18.42%,6.21,129.93%,여유재고,50.71,주의
2026. 2. 26,23101,d. 유제품,제니코 모짜프라임 500 2.5kg,271.00,,,,,,,,,,,271.00,210.00,202,8.00,9.33,5.14,118.50,정상,104.00,339.00,1,2.63%,52.69,181.48%,보충임박,55.92,주의
2026. 2. 26,23120,d. 유제품,프리미엄 모짜렐라 (냉장) 2.5kg,129.00,,,,,,,,,,,129.00,245.00,231,14.00,26.17,20.86,247.50,주의,6.00,221.00,6,15.79%,6.18,125.46%,여유재고,48.88,여유
2026. 2. 26,23134,d. 유제품,제니코 피자치즈 냉장 (독일산) 2.5kg,89.50,,,,,,,,,,,89.50,200.75,200.75,0.00,0.00,0.00,100.25,주의,89.50,194.50,10,26.32%,0.00,0.00%,여유재고,0.00,여유
2026. 2. 26,23129,d. 유제품,모짜렐라치즈 오리지날 2.5kg,86.00,,,,,,,,,,,86.00,169.00,157,12.00,8.67,7.43,70.50,정상,5.00,161.00,5,13.16%,11.58,116.67%,여유재고,41.95,여유
2026. 2. 26,23140,d. 유제품,사푸토 모짜 2.77kg*8ea,57.75,99.00,,,,,,,,,,156.75,61.00,61,0.00,5.50,0.43,40.00,정상,12.75,81.75,3,7.89%,134.75,1283.33%,보충임박,386.95,즉시처리
2026. 2. 26,23143,d. 유제품,칼라 체다 프라임 골드 2.5kg,203.00,,,,,,,,,,,203.00,269.75,269.75,0.00,19.29,12.25,146.63,정상,6.50,279.75,9,23.68%,16.57,157.48%,보충임박,55.00,주의
2026. 2. 26,23131,d. 유제품,제니코 모짜렐라 점보치즈스틱 2kg,80.00,,,,,,,,,,,80.00,65.00,45,20.00,8.67,2.86,17.50,정상,32.00,100.00,3,7.89%,28.00,303.33%,보충임박,94.36,주의
2026. 2. 26,23123,d. 유제품,아리바 슈프림 모짜렐라 1kg,18.00,,,,,,,,,,,18.00,50.00,50,0.00,5.00,0.00,20.00,주의,18.00,118.00,1,2.63%,0.00,0.00%,여유재고,0.00,여유
2026. 2. 26,23132,d. 유제품,아리바 베이커리롤치즈 1kg,0.00,,,,,,,,,,,0.00,102.00,102,0.00,0.00,0.00,52.50,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 26,23142,d. 유제품,비앙카 체다 슬라이스 2kg,0.00,,,,,,,,,,,0.00,250.00,250,0.00,20.83,0.00,125.00,긴급,124.50,125.00,21,55.26%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 26,23968,d. 유제품,체다 슬라이스 100P 1.8kg,197.75,,,,,,,,,,,197.75,246.50,239.5,7.00,15.04,10.46,130.00,정상,96.25,280.00,1,2.63%,18.90,143.74%,여유재고,46.30,여유
2026. 2. 26,23962,d. 유제품,베이커리 슬라이스 치즈 1.8kg,112.50,,,,,,,,,,,112.50,188.75,184.75,4.00,10.67,5.14,109.50,정상,0.50,142.75,10,26.32%,21.88,207.41%,보충임박,69.77,주의
2026. 2. 26,24090,d. 유제품,엠보그 버거 슬라이스 (화이트) 84P,0.00,,,,,,,,,,,0.00,8.00,4,4.00,0.67,0.57,7.00,긴급,2.00,2.00,37,97.37%,0.00,116.67%,즉시보충,0.00,여유
2026. 2. 26,20551,e. 가공식품,제니코 켄터키후랑크 1kg,122.20,,,,,,,,,,,122.20,405.00,383,22.00,22.00,17.14,242.55,주의,10.20,155.20,18,47.37%,7.13,128.33%,여유재고,54.99,주의
2026. 2. 26,22175,e. 가공식품,오징어먹물 색소 500g,523.00,,,,,,,,,,,523.00,137.83,132.8333333,5.00,3.94,1.95,72.00,정상,384.00,645.83,1,2.63%,267.88,202.03%,보충임박,61.32,주의
2026. 2. 26,20905,e. 가공식품,마리네이티드 세그먼트 토마토 (1/4컷) 1kg,102.00,,,,,,,,,,,102.00,181.50,181.5,0.00,16.00,8.29,94.60,정상,1.00,218.00,7,18.42%,12.31,193.10%,보충임박,65.68,주의
2026. 2. 26,20906,e. 가공식품,마리네이티드 체리 토마토 (하프컷) 1kg,28.70,,,,,,,2.00,,,,30.70,132.90,126.9,6.00,28.15,22.56,48.05,주의,8.70,207.70,6,15.79%,1.27,124.79%,즉시보충,79.89,주의
2026. 2. 26,20907,e. 가공식품,냉동 블루베리 1kg,214.80,,,,,,,,,,,214.80,139.00,129,10.00,10.33,8.14,64.00,정상,34.80,224.80,1,2.63%,26.38,126.90%,여유재고,40.49,여유
2026. 2. 26,21515,e. 가공식품,바닐라빈 250g,0.00,,,,,,,,,12.00,,12.00,21.00,19,2.00,1.00,0.86,6.50,긴급,0.00,0.00,38,100.00%,0.00,116.67%,즉시보충,0.00,여유
2026. 2. 26,21516,e. 가공식품,바닐라빈 50g,0.00,,,,,,,,,38.00,,38.00,100.00,100,0.00,0.00,0.00,54.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 26,21517,e. 가공식품,바닐라빈 25g,0.00,,,,,,,,,145.00,,145.00,134.00,102,32.00,17.00,19.14,1.50,긴급,0.00,0.00,38,100.00%,0.00,88.81%,즉시보충,0.00,여유
2026. 3. 2,10401,a. 이스트(제조),생이스트 500g,322.90,961.00,480.00,,,,,,1.20,,,"1,285.10",260.00,0,260.00,326.39,196.63,2600.93,긴급,144.93,"1,286.83",34,89.47%,1.64,166.00%,즉시보충,98.14,주의
2026. 3. 2,10402,a. 이스트(제조),생이스트 15kg,0.00,90.00,,,,,,,,,,90.00,0.00,0,0.00,0.00,0.00,135.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 3. 2,10405,a. 이스트(제조),생이스트 (냉동생지) 500g,18.95,,,,,,,,,,,18.95,0.00,0,0.00,1.00,0.57,24.00,주의,0.95,25.00,26,68.42%,33.16,175.00%,보충임박,67.69,주의
2026. 3. 2,10714,a. 이스트(제조),제니코 인스턴트이스트 5kg,30.50,70.00,,,,,,,,,,100.50,3.00,0,3.00,0.00,0.43,2.50,정상,27.25,39.25,1,2.63%,71.17,0.00%,여유재고,1.23,여유
2026. 3. 2,26102,a. 이스트(제조),인스턴트이스트 4g (2000),0.00,,,,,,,,,,,0.00,0.00,0,0.00,0.00,0.00,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 3. 2,21323,a. 이스트,글로리팡 생이스트 500g,454.00,,,,,,,,,,,454.00,122.00,0,122.00,84.49,46.85,770.40,주의,39.00,737.90,19,50.00%,9.69,180.34%,보충임박,69.26,주의
2026. 3. 2,21347,a. 이스트,글로리팡 생이스트 벌크 20kg,160.00,,,,,,,,,,,160.00,0.00,0,0.00,40.00,22.86,320.00,주의,40.00,360.00,10,26.32%,7.00,175.00%,보충임박,64.91,주의
2026. 3. 2,21340,a. 이스트,레드스타 생이스트 500g,77.90,,,,,,,,,,,77.90,12.00,0,12.00,17.50,11.71,148.00,주의,3.00,151.00,21,55.26%,6.65,149.39%,여유재고,63.39,주의
2026. 3. 2,21343,a. 이스트,레드스타 생이스트 벌크 10kg,560.00,,,,,,,,,,,560.00,0.00,0,0.00,117.50,32.86,1105.00,주의,150.00,993.00,8,21.05%,17.04,357.61%,보충임박,114.43,우선처리
2026. 3. 2,21501,a. 이스트,냉동건조효모 (하이론댈) 골드라벨,341.25,,,,,,,,26.00,,,367.25,51.00,0,51.00,103.25,57.14,1132.13,긴급,208.75,"2,314.50",8,21.05%,5.97,180.69%,보충임박,66.79,주의
2026. 3. 2,21502,a. 이스트,냉동건조효모 (하이론댈),461.00,,,,,,,,,,,461.00,2.00,0,2.00,54.00,21.29,305.00,정상,61.50,796.00,4,10.53%,21.66,253.69%,보충임박,80.52,주의
2026. 3. 2,21301,a. 이스트,사프 인스턴트이스트 500g (R),457.35,704.00,,,,,,,,,,"1,161.35",27.00,0,27.00,190.99,106.56,1273.38,주의,44.35,857.35,31,81.58%,4.29,179.22%,보충임박,81.73,주의
2026. 3. 2,21302,a. 이스트,사프 인스턴트이스트 500g (G),360.60,,,,,,,,,,,360.60,81.00,0,81.00,132.58,79.90,941.75,주의,134.60,"1,312.60",11,28.95%,4.51,165.93%,보충임박,66.65,주의
2026. 3. 2,21303,a. 이스트,사프 인스턴트이스트 125g (R),77.17,648.00,,,,,,,,,,725.17,0.00,0,0.00,5.50,2.00,51.50,정상,26.17,170.17,1,2.63%,38.58,275.00%,보충임박,84.32,주의
2026. 3. 2,21305,a. 이스트,사프 인스턴트이스트 10kg (R),207.00,560.00,,,,,,,,,,767.00,0.00,0,0.00,32.50,18.57,130.00,정상,82.00,262.00,1,2.63%,11.15,175.00%,보충임박,57.51,주의
2026. 3. 2,21307,a. 이스트,사프 인스탄트이스트 10kg (R) (KKD),0.00,"1,077.00",,,,,,,,,,"1,077.00",0.00,0,0.00,0.00,0.00,250.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 3. 2,21329,a. 이스트,사프 트레디지 400g,49.75,,,,,,,,,1.00,,50.75,1.00,0,1.00,0.25,0.29,2.00,정상,45.75,54.75,1,2.63%,174.13,87.50%,여유재고,27.06,여유
2026. 3. 2,21332,a. 이스트,리벤도 비디100 500g,25.00,,,,,,,,,1.40,,26.40,0.00,0,0.00,0.00,0.00,0.50,정상,20.00,26.00,1,2.63%,0.00,0.00%,여유재고,0.00,여유
2026. 3. 2,21311,a. 이스트,엔젤 인스턴트이스트-고당 500g,226.80,900.00,,,,,,,,,,"1,126.80",0.00,0,0.00,3.38,1.07,77.43,정상,82.35,275.15,1,2.63%,211.68,315.00%,보충임박,95.26,주의
2026. 3. 2,21312,a. 이스트,엔젤 인스턴트이스트-저당 500g,269.45,"2,000.00",100.00,,,,,,,,,"2,269.45",65.00,0,65.00,23.86,11.56,302.38,주의,91.05,326.80,3,7.89%,23.30,206.35%,보충임박,65.63,주의
2026. 3. 2,21313,a. 이스트,엔젤 인스턴트이스트-저당 10kg,173.00,"1,700.00",,,,,,,,,,"1,873.00",0.00,0,0.00,75.25,43.00,208.50,주의,90.00,290.00,1,2.63%,4.02,175.00%,보충임박,65.45,주의
2026. 3. 2,21316,a. 이스트,엔젤 인스턴트이스트-저당 5kg,0.00,600.00,,,,,,,,,,600.00,0.00,0,0.00,0.00,0.00,0.00,긴급,0.00,0.00,28,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 3. 2,21322,a. 이스트,엔젤 와인이스트 500g,0.00,5.00,,,,,,,,4.00,,9.00,0.00,0,0.00,0.50,0.29,1.00,긴급,0.00,0.00,38,100.00%,0.00,175.00%,즉시보충,0.00,여유
2026. 3. 2,21318,b. 엑기스,엔젤 이스트엑기스분말,89.00,660.00,,,,,,,,,,749.00,200.00,0,200.00,250.00,171.43,560.00,긴급,46.00,105.00,21,55.26%,0.52,145.83%,즉시보충,151.11,우선처리
2026. 3. 2,10605,b. 엑기스(제조),불활성건조효모,24.00,339.00,,,,,,,,,,363.00,3.00,0,3.00,1.25,1.14,35.18,주의,22.00,47.00,1,2.63%,21.00,109.38%,여유재고,35.72,여유
2026. 3. 2,21228,b. 엑기스,스프링거 우마미 AA,21.00,,,,,,,,,,,21.00,7.00,0,7.00,0.00,1.00,0.00,정상,14.00,28.00,1,2.63%,21.00,0.00%,여유재고,2.91,여유
2026. 3. 2,21020,c. 베이커리믹스,강력분 밀가루 20kg,142.00,,,990.00,,858.00,,,,,,"1,990.00",38.00,0,38.00,44.50,30.00,313.00,주의,104.00,912.00,2,5.26%,4.73,148.33%,여유재고,56.12,주의
2026. 3. 2,21021,c. 베이커리믹스,박력분 밀가루 20kg,87.00,,,198.00,,330.00,,,,,,615.00,15.00,0,15.00,21.00,14.14,104.50,주의,82.00,387.00,1,2.63%,6.15,148.48%,여유재고,53.20,주의
2026. 3. 2,21023,c. 베이커리믹스,트레일블레이저 밀가루 22.68kg,328.00,,,440.00,,,,,,,,768.00,70.00,0,70.00,0.00,10.00,135.00,정상,98.00,428.00,1,2.63%,32.80,0.00%,여유재고,2.05,여유
2026. 3. 2,21601,c. 베이커리믹스,베이킹파우더 300g,355.88,,,,,,,,8.50,,,364.38,42.00,0,42.00,30.31,14.61,193.44,정상,275.86,536.88,1,2.63%,24.37,207.52%,보충임박,64.83,주의
2026. 3. 2,21600,c. 베이커리믹스,베이킹파우더 20kg,361.00,,,,,,,,,,,361.00,11.00,0,11.00,23.00,11.43,301.50,정상,254.00,582.00,1,2.63%,31.59,201.25%,보충임박,62.48,주의
2026. 3. 2,21604,c. 베이커리믹스,베이킹파우더 포뮬러 (2) 300g,749.38,,,,,,,,1.30,,,750.68,93.00,0,93.00,48.50,37.01,395.01,정상,358.38,967.38,1,2.63%,20.25,131.03%,여유재고,42.31,여유
2026. 3. 2,21603,c. 베이커리믹스,베이킹파우더 포뮬러 (2) 20kg,327.00,,,,,,,,,,,327.00,12.00,0,12.00,29.50,15.00,131.00,정상,119.00,425.00,1,2.63%,21.80,196.67%,보충임박,61.82,주의
2026. 3. 2,21609,c. 베이커리믹스,베이킹파우더 플러스 20kg,273.00,,,,,,,,,,,273.00,0.00,0,0.00,25.25,14.43,150.50,정상,124.00,373.00,1,2.63%,18.92,175.00%,보충임박,55.67,주의
2026. 3. 2,21606,c. 베이커리믹스,베이킹파우더 A-300 20kg,0.00,,,,,,,,,,,0.00,0.00,0,0.00,0.00,0.00,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 3. 2,21635,c. 베이커리믹스,S-2000 500g,36.91,,,,,,,,,,,36.91,16.00,0,16.00,7.50,6.43,69.00,주의,36.91,115.91,1,2.63%,5.74,116.67%,여유재고,44.23,여유
2026. 3. 2,21636,c. 베이커리믹스,S-2000 10kg,162.00,,,,,,,,,,,162.00,10.00,0,10.00,1.25,2.14,18.50,정상,23.00,182.00,1,2.63%,75.60,58.33%,여유재고,18.69,여유
2026. 3. 2,21634,c. 베이커리믹스,S-2000 (GOLD) 500g,64.76,,,,,,,,,,,64.76,5.00,0,5.00,8.75,4.57,73.50,주의,42.76,128.76,1,2.63%,14.17,191.41%,보충임박,61.48,주의
2026. 3. 2,21633,c. 베이커리믹스,S-2000 (GOLD) 10kg,93.00,,,,,,,,,,,93.00,0.00,0,0.00,2.75,1.57,83.00,정상,93.00,200.00,1,2.63%,59.18,175.00%,보충임박,53.87,주의
2026. 3. 2,21655,c. 베이커리믹스,이스트후드 20kg,31.00,,,,,,,,,,,31.00,0.00,0,0.00,12.75,0.14,27.00,정상,31.00,82.00,1,2.63%,217.00,8925.00%,보충임박,2678.26,즉시처리
2026. 3. 2,21685,c. 베이커리믹스,크라프트 플러스 (2) 3kg,110.80,,,,,,,,,,,110.80,0.00,0,0.00,5.50,2.43,45.00,정상,88.80,430.80,1,2.63%,45.62,226.47%,보충임박,69.56,주의
2026. 3. 2,24026,c. 베이커리믹스,슐로스브로트 25kg,0.00,185.00,,,,,,,,,,185.00,0.00,0,0.00,0.00,0.00,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 3. 2,21133,d. 유제품,"골드라벨 휘핑크림 오리지날 1,030g*12ea",100.00,,,,,,,,,,,100.00,58.00,0,58.00,32.50,23.14,325.00,긴급,58.92,140.92,32,84.21%,4.32,140.43%,여유재고,70.54,주의
2026. 3. 2,21134,d. 유제품,"골드라벨 휘핑크림 무향 1,030g*12ea",36.00,,,,,,,,,,,36.00,5.00,0,5.00,2.50,2.14,39.00,주의,18.00,53.00,1,2.63%,16.80,116.67%,여유재고,38.50,여유
2026. 3. 2,21121,d. 유제품,골드라벨 휘핑크림 밀크향 (NEW),15.00,,,,,,,,,,,15.00,1.00,0,1.00,1.50,1.00,10.50,정상,10.00,37.00,1,2.63%,15.00,150.00%,여유재고,48.86,여유
2026. 3. 2,21127,d. 유제품,RPC 프로패셔널 휘핑크림,9.00,,,,,,,,,,,9.00,0.00,0,0.00,0.75,0.43,2.50,정상,2.00,12.00,31,81.58%,21.00,175.00%,보충임박,71.20,주의
2026. 3. 2,21132,d. 유제품,RPC 데어리블랜드 쿠킹크림,15.00,,,,,,,,,,,15.00,0.00,0,0.00,0.00,0.00,54.50,긴급,11.00,33.00,23,60.53%,0.00,0.00%,점검필요,0.00,여유
2026. 3. 2,21135,d. 유제품,제니코식품/리치 쿠킹 크림 1L*12ea,1.00,,,,,,,,,,,1.00,0.00,0,0.00,0.00,0.00,0.50,정상,1.00,1.00,16,42.11%,0.00,0.00%,점검필요,0.00,여유
2026. 3. 2,21122,d. 유제품,푸어앤휩 (레드) 휘핑크림,12.00,,,,,,,,,,,12.00,3.00,0,3.00,1.75,1.29,30.50,주의,2.00,23.00,6,15.79%,9.33,136.11%,여유재고,49.35,여유
2026. 3. 2,21120,d. 유제품,온탑 휘핑크림,20.00,,,,,,,,,,,20.00,0.00,0,0.00,3.00,1.71,42.50,주의,5.00,140.00,7,18.42%,11.67,175.00%,보충임박,60.47,주의
2026. 3. 2,21110,d. 유제품,베르사띠 휘핑크림 1L,16.00,,,,,,,,,,,16.00,0.00,0,0.00,0.00,0.00,5.00,정상,6.00,16.00,1,2.63%,0.00,0.00%,여유재고,0.00,여유
2026. 3. 2,21117,d. 유제품,AERO TOP 휘핑크림,15.00,,,,,,,,,,,15.00,0.00,0,0.00,2.25,1.29,18.50,주의,2.00,27.00,12,31.58%,11.67,175.00%,보충임박,63.10,주의
2026. 3. 2,21126,d. 유제품,달럽 프라이드 휘핑크림,13.00,,,,,,,,,,,13.00,0.00,0,0.00,0.25,0.00,15.50,주의,9.00,29.00,1,2.63%,0.00,0.00%,여유재고,0.00,여유
2026. 3. 2,23045,d. 유제품,비앙카 골드 크림치즈 1.36kg,676.80,,,,495.00,,,,,,,"1,171.80",128.00,0,128.00,48.28,43.30,460.55,정상,279.40,945.40,1,2.63%,15.63,111.49%,여유재고,37.17,여유
2026. 3. 2,23016,d. 유제품,비앙카 골드 크림치즈 벌크 13.6kg,857.00,,,,,,,,,,,857.00,30.00,0,30.00,31.75,17.86,919.50,주의,345.00,"1,902.00",1,2.63%,47.99,177.80%,보충임박,54.91,주의
2026. 3. 2,23126,d. 유제품,헤리티지 크림치즈 1.36kg,477.90,,,,,,,,4.00,3.00,,484.90,26.00,0,26.00,13.25,7.43,150.45,정상,94.00,477.90,1,2.63%,64.33,178.37%,보충임박,54.81,주의
2026. 3. 2,23015,d. 유제품,헤리티지 벌크 크림치즈 13.6kg,168.00,,,420.00,,210.00,,,,,,798.00,5.00,0,5.00,19.50,11.86,157.50,정상,165.00,386.00,1,2.63%,14.17,164.46%,보충임박,53.39,주의
2026. 3. 2,24093,d. 유제품,아메리칸 헤리티지 싱글 치즈,0.00,,,200.00,,,,,,,,200.00,0.00,0,0.00,0.00,0.00,0.00,긴급,0.00,0.00,21,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 3. 2,22992,d. 유제품,워남불 크림치즈 2kg (썬골드),0.00,,,,,,,,,,,0.00,0.00,0,0.00,0.00,0.00,32.42,긴급,9.83,66.00,35,92.11%,0.00,0.00%,점검필요,0.00,여유
2026. 3. 2,22991,d. 유제품,워남불 크림치즈 10kg,286.00,,,,"4,468.00",,,,,,,"4,754.00",390.00,0,390.00,66.25,76.00,911.00,긴급,286.00,"1,860.00",2,5.26%,3.76,87.17%,여유재고,40.49,여유
2026. 3. 2,23012,d. 유제품,폴리 크림치즈 1.36kg,"1,129.90",,,628.00,,221.00,,,,3.00,,"1,981.90",129.00,0,129.00,30.33,31.61,419.55,정상,338.40,"1,129.90",1,2.63%,35.74,95.92%,여유재고,30.70,여유
2026. 3. 2,23014,d. 유제품,폴리 크림치즈 벌크 13.6kg,145.00,,,770.00,,,,,,,,915.00,67.00,0,67.00,32.75,19.29,240.50,주의,7.00,850.00,7,18.42%,7.52,169.81%,보충임박,61.28,주의
2026. 3. 2,24003,d. 유제품,폴리 컵포션치즈 28g,89.67,,,576.00,,432.00,,,10.00,,,"1,107.67",1.00,0,1.00,14.80,7.91,160.00,주의,30.47,408.87,3,7.89%,11.33,187.00%,보충임박,62.09,주의
2026. 3. 2,23954,d. 유제품,라스카스 크림치즈 1.36kg,578.70,,,"1,197.00",,,,,,,,"1,775.70",75.00,0,75.00,62.95,38.97,555.40,정상,264.70,923.70,1,2.63%,14.85,161.53%,보충임박,52.35,주의
2026. 3. 2,24081,d. 유제품,뉴샤텔 크림치즈 벌크 13.6kg,406.00,,,"1,735.00",,,,,,,,"2,141.00",140.00,0,140.00,32.25,38.43,381.50,정상,126.00,780.00,2,5.26%,10.57,83.92%,여유재고,30.96,여유
2026. 3. 2,23996,d. 유제품,제니코 까망베르 크림치즈 1kg,60.90,,,,,,,,,,,60.90,3.30,0,3.30,2.58,1.80,20.85,정상,31.60,75.50,1,2.63%,33.83,143.06%,여유재고,44.92,여유
2026. 3. 2,24083,d. 유제품,슈라이버 슬라이스 치즈 120P,853.50,,,"3,478.00",,500.00,,,4.00,,,"4,835.50",16.00,0,16.00,112.75,39.00,957.63,주의,364.25,"1,196.50",1,2.63%,21.88,289.10%,보충임박,89.54,주의
2026. 3. 2,24082,d. 유제품,슈라이버 슬라이스 치즈 184P,736.75,,,270.00,,630.00,,,27.00,,,"1,663.75",1.00,0,1.00,70.75,39.32,867.63,주의,245.75,985.00,4,10.53%,18.74,179.93%,보충임박,58.75,주의
2026. 3. 2,24084,d. 유제품,슈라이버 스위스 슬라이스 치즈 120P,258.50,,,500.00,,500.00,,,23.00,,,"1,281.50",55.00,0,55.00,33.63,24.46,277.38,주의,127.50,537.25,1,2.63%,10.57,137.45%,여유재고,46.49,여유
2026. 3. 2,24091,d. 유제품,슈라이버 컵포션 21g,136.20,,,288.00,,288.00,,,52.00,,,764.20,0.00,0,0.00,6.40,1.83,78.40,정상,131.00,329.20,1,2.63%,74.48,350.00%,보충임박,106.20,우선처리
2026. 3. 2,23939,d. 유제품,마스카포네 (엘다) 500g,0.00,,,,,,,,,,,0.00,0.00,0,0.00,2.46,0.83,66.33,긴급,4.00,74.33,17,44.74%,0.00,295.00%,즉시보충,0.00,여유
2026. 3. 2,23017,d. 유제품,체다 다이스치즈 2.27kg,84.75,589.00,,,,,,,,,,673.75,16.00,0,16.00,3.75,4.00,73.75,정상,19.00,401.25,3,7.89%,21.19,93.75%,여유재고,32.06,여유
2026. 3. 2,23019,d. 유제품,고다 다이스치즈 2.27kg,89.00,,,,,,,,,,,89.00,3.00,0,3.00,0.63,0.61,20.38,정상,25.25,94.25,1,2.63%,146.59,102.94%,여유재고,31.75,여유
2026. 3. 2,23020,d. 유제품,몬테레이잭 다이스치즈 2.27kg,67.50,138.00,,,,,,,,,,205.50,6.00,0,6.00,0.63,0.93,12.38,정상,44.25,113.25,1,2.63%,72.69,67.31%,여유재고,21.41,여유
2026. 3. 2,26002,d. 유제품,크로아상 버터 플레이트 2kg,284.60,,,400.00,,,,,,,,684.60,6.00,0,6.00,13.25,4.86,89.50,정상,33.80,430.60,1,2.63%,58.59,272.79%,보충임박,83.22,주의
2026. 3. 2,25015,d. 유제품,시앤오 데어리브랜드 (버터 79%),37.00,,,,"1,400.00",,,,,,,"1,437.00",41.00,0,41.00,6.25,6.57,27.50,정상,13.00,613.00,1,2.63%,5.63,95.11%,여유재고,37.94,여유
2026. 3. 2,25025,d. 유제품,UDA버터 (미국산) 25kg,595.00,,,640.00,,,,,,,,"1,235.00",20.00,0,20.00,40.50,6.43,398.50,정상,12.00,659.00,3,7.89%,92.56,630.00%,보충임박,191.12,우선처리
2026. 3. 2,26016,d. 유제품,락틱 컴파운드 버터 12.5kg,94.00,"1,736.00",,,,,,,,,,"1,830.00",62.00,0,62.00,6.75,12.71,69.00,정상,16.00,315.00,2,5.26%,7.39,53.09%,여유재고,23.74,여유
